'2013-02-13',16971700.0
'2013-02-14',12688400.0
'2013-02-15',13990900.0
'2013-02-19',15563700.0
'2013-02-20',17010800.0
'2013-02-21',15970800.0
'2013-02-22',11809100.0
'2013-02-25',13306400.0
'2013-02-26',17910700.0
'2013-02-27',20976800.0
'2013-02-28',11518400.0
'2013-03-01',19730300.0
'2013-03-04',20812700.0
'2013-03-05',22801200.0
'2013-03-06',16437500.0
'2013-03-07',16731200.0
'2013-03-08',13981500.0
'2013-03-11',16937000.0
'2013-03-12',16639700.0
'2013-03-13',14483900.0
'2013-03-14',10852700.0
'2013-03-15',22998600.0
'2013-03-18',21649900.0
'2013-03-19',18813400.0
'2013-03-20',11023600.0
'2013-03-21',13687700.0
'2013-03-22',14110900.0
'2013-03-25',17897700.0
'2013-03-26',10510500.0
'2013-03-27',11829900.0
'2013-03-28',15815700.0
'2013-04-01',13919000.0
'2013-04-02',18911400.0
'2013-04-03',12972000.0
'2013-04-04',12801700.0
'2013-04-05',13703400.0
'2013-04-08',10743900.0
'2013-04-09',10950500.0
'2013-04-10',13426000.0
'2013-04-11',11727300.0
'2013-04-12',8521900.0
'2013-04-15',11340000.0
'2013-04-16',10920400.0
'2013-04-17',33752000.0
'2013-04-18',23796400.0
'2013-04-19',21759800.0
'2013-04-22',15354300.0
'2013-04-23',23722800.0
'2013-04-24',34630400.0
'2013-04-25',13744200.0
'2013-04-26',27289200.0
'2013-04-29',22868800.0
'2013-04-30',24697800.0
'2013-05-01',18103900.0
'2013-05-02',15065300.0
'2013-05-03',12903600.0
'2013-05-06',17737200.0
'2013-05-07',17276900.0
'2013-05-08',16878500.0
'2013-05-09',14231700.0
'2013-05-10',11959000.0
'2013-05-13',11319600.0
'2013-05-14',15968500.0
'2013-05-15',26486200.0
'2013-05-16',21543000.0
'2013-05-17',15282300.0
'2013-05-20',16127800.0
'2013-05-21',16286500.0
'2013-05-22',15822800.0
'2013-05-23',12607900.0
'2013-05-24',9863100.0
'2013-05-28',13790900.0
'2013-05-29',11806300.0
'2013-05-30',12625700.0
'2013-05-31',13725100.0
'2013-06-03',13298300.0
'2013-06-04',10454600.0
'2013-06-05',10378200.0
'2013-06-06',14890500.0
'2013-06-07',14447700.0
'2013-06-10',16076900.0
'2013-06-11',10218300.0
'2013-06-12',9472400.0
'2013-06-13',10208300.0
'2013-06-14',9709500.0
'2013-06-17',9264800.0
'2013-06-18',6965200.0
'2013-06-19',11105000.0
'2013-06-20',12761100.0
'2013-06-21',17182800.0
'2013-06-24',17169500.0
'2013-06-25',11220100.0
'2013-06-26',13133000.0
'2013-06-27',12044500.0
'2013-06-28',20661300.0
'2013-07-01',13966200.0
'2013-07-02',16780900.0
'2013-07-03',8604600.0
'2013-07-05',9786600.0
'2013-07-08',10647800.0
'2013-07-09',12592300.0
'2013-07-10',10050200.0
'2013-07-11',11653300.0
'2013-07-12',9984400.0
'2013-07-15',8639900.0
'2013-07-16',7733500.0
'2013-07-17',7106800.0
'2013-07-18',7817100.0
'2013-07-19',9597200.0
'2013-07-22',7421300.0
'2013-07-23',13192700.0
'2013-07-24',21140600.0
'2013-07-25',8196200.0
'2013-07-26',7148300.0
'2013-07-29',8859200.0
'2013-07-30',11050800.0
'2013-07-31',11534200.0
'2013-08-01',7366100.0
'2013-08-02',9813700.0
'2013-08-05',11387700.0
'2013-08-06',11959200.0
'2013-08-07',10673500.0
'2013-08-08',9134900.0
'2013-08-09',9530900.0
'2013-08-12',13015500.0
'2013-08-13',31497900.0
'2013-08-14',27013300.0
'2013-08-15',17510500.0
'2013-08-16',12939500.0
'2013-08-19',18232800.0
'2013-08-20',12810300.0
'2013-08-21',11995700.0
'2013-08-22',8721700.0
'2013-08-23',7954700.0
'2013-08-26',11820200.0
'2013-08-27',15149600.0
'2013-08-28',10986000.0
'2013-08-29',8559200.0
'2013-08-30',9724900.0
'2013-09-03',11854600.0
'2013-09-04',12322600.0
'2013-09-05',8441700.0
'2013-09-06',12840200.0
'2013-09-09',12167400.0
'2013-09-10',26542700.0
'2013-09-11',32096300.0
'2013-09-12',14430400.0
'2013-09-13',10672700.0
'2013-09-16',19418100.0
'2013-09-17',14263600.0
'2013-09-18',16316500.0
'2013-09-19',14447900.0
'2013-09-20',24975100.0
'2013-09-23',27218100.0
'2013-09-24',13012300.0
'2013-09-25',11319900.0
'2013-09-26',8472200.0
'2013-09-27',8144300.0
'2013-09-30',9291300.0
'2013-10-01',12638700.0
'2013-10-02',10328000.0
'2013-10-03',11526900.0
'2013-10-04',9245300.0
'2013-10-07',11153300.0
'2013-10-08',10389900.0
'2013-10-09',10775900.0
'2013-10-10',9950100.0
'2013-10-11',9562100.0
'2013-10-14',9353500.0
'2013-10-15',11431200.0
'2013-10-16',8967900.0
'2013-10-17',9056900.0
'2013-10-18',10376500.0
'2013-10-21',14218100.0
'2013-10-22',19073700.0
'2013-10-23',11204400.0
'2013-10-24',13741600.0
'2013-10-25',12064000.0
'2013-10-28',19658600.0
'2013-10-29',22707400.0
'2013-10-30',12648700.0
'2013-10-31',9846300.0
'2013-11-01',9817500.0
'2013-11-04',8736700.0
'2013-11-05',9471900.0
'2013-11-06',7977700.0
'2013-11-07',9379300.0
'2013-11-08',9975600.0
'2013-11-11',8123300.0
'2013-11-12',7295600.0
'2013-11-13',7043600.0
'2013-11-14',10086400.0
'2013-11-15',11354300.0
'2013-11-18',8748000.0
'2013-11-19',7462100.0
'2013-11-20',6925600.0
'2013-11-21',9358100.0
'2013-11-22',7990200.0
'2013-11-25',8189700.0
'2013-11-26',14335100.0
'2013-11-27',12980300.0
'2013-11-29',11361700.0
'2013-12-02',16876600.0
'2013-12-03',16106000.0
'2013-12-04',13493200.0
'2013-12-05',15985000.0
'2013-12-06',12298300.0
'2013-12-09',11446200.0
'2013-12-10',9938200.0
'2013-12-11',12847100.0
'2013-12-12',9367500.0
'2013-12-13',11886500.0
'2013-12-16',10092600.0
'2013-12-17',8210800.0
'2013-12-18',20209400.0
'2013-12-19',11439600.0
'2013-12-20',15586200.0
'2013-12-23',17903800.0
'2013-12-24',5984100.0
'2013-12-26',7286000.0
'2013-12-27',8067300.0
'2013-12-30',9058200.0
'2013-12-31',7967300.0
'2014-01-02',8381600.0
'2014-01-03',14016700.0
'2014-01-06',14736100.0
'2014-01-07',11328900.0
'2014-01-08',9233200.0
'2014-01-09',9969600.0
'2014-01-10',10892000.0
'2014-01-13',13517600.0
'2014-01-14',11877200.0
'2014-01-15',13987100.0
'2014-01-16',8188500.0
'2014-01-17',15240700.0
'2014-01-21',11733100.0
'2014-01-22',13570900.0
'2014-01-23',14401400.0
'2014-01-24',15334100.0
'2014-01-27',19817100.0
'2014-01-28',38054400.0
'2014-01-29',17957500.0
'2014-01-30',24232200.0
'2014-01-31',16599900.0
'2014-02-03',14338000.0
'2014-02-04',13452900.0
'2014-02-05',11726600.0
'2014-02-06',9205900.0
'2014-02-07',13224300.0
'2014-02-10',12341400.0
'2014-02-11',10080600.0
'2014-02-12',11003600.0
'2014-02-13',10978500.0
'2014-02-14',9747300.0
'2014-02-18',9294700.0
'2014-02-19',11206000.0
'2014-02-20',10923500.0
'2014-02-21',9956600.0
'2014-02-24',10318200.0
'2014-02-25',8284000.0
'2014-02-26',9864900.0
'2014-02-27',10781500.0
'2014-02-28',13284600.0
'2014-03-03',8527900.0
'2014-03-04',9255000.0
'2014-03-05',7145100.0
'2014-03-06',6624600.0
'2014-03-07',7883200.0
'2014-03-10',6378000.0
'2014-03-11',9972300.0
'2014-03-12',7118800.0
'2014-03-13',9205100.0
'2014-03-14',8471400.0
'2014-03-17',7126600.0
'2014-03-18',7487400.0
'2014-03-19',8027000.0
'2014-03-20',7442800.0
'2014-03-21',13358800.0
'2014-03-24',12703600.0
'2014-03-25',10081900.0
'2014-03-26',10706000.0
'2014-03-27',7929700.0
'2014-03-28',7163000.0
'2014-03-31',6023900.0
'2014-04-01',7170000.0
'2014-04-02',6443600.0
'2014-04-03',5798000.0
'2014-04-04',9830400.0
'2014-04-07',10351800.0
'2014-04-08',8710300.0
'2014-04-09',7363200.0
'2014-04-10',8559000.0
'2014-04-11',9704200.0
'2014-04-14',7345500.0
'2014-04-15',9517500.0
'2014-04-16',7670200.0
'2014-04-17',10154800.0
'2014-04-21',6519600.0
'2014-04-22',7234400.0
'2014-04-23',14105000.0
'2014-04-24',27139700.0
'2014-04-25',13938400.0
'2014-04-28',23910200.0
'2014-04-29',12049200.0
'2014-04-30',16308600.0
'2014-05-01',8716000.0
'2014-05-02',6839800.0
'2014-05-05',10252400.0
'2014-05-06',13377300.0
'2014-05-07',10102300.0
'2014-05-08',8224900.0
'2014-05-09',10414200.0
'2014-05-12',7614600.0
'2014-05-13',5704900.0
'2014-05-14',5943000.0
'2014-05-15',8244500.0
'2014-05-16',9866300.0
'2014-05-19',11348400.0
'2014-05-20',8387000.0
'2014-05-21',7030700.0
'2014-05-22',7170000.0
'2014-05-23',8293200.0
'2014-05-27',12459500.0
'2014-05-28',11267200.0
'2014-05-29',13445500.0
'2014-05-30',20143600.0
'2014-06-02',13191100.0
'2014-06-03',10453900.0
'2014-06-04',11981500.0
'2014-06-05',10850200.0
'2014-06-06',12497800.0
'2014-06-09',75414997.0
'2014-06-10',62777000.0
'2014-06-11',45681000.0
'2014-06-12',54749000.0
'2014-06-13',54525000.0
'2014-06-16',35561000.0
'2014-06-17',29726000.0
'2014-06-18',33514000.0
'2014-06-19',35528000.0
'2014-06-20',100898000.0
'2014-06-23',43694000.0
'2014-06-24',39036000.0
'2014-06-25',36869000.0
'2014-06-26',32629000.0
'2014-06-27',64029000.0
'2014-06-30',49589000.0
'2014-07-01',38223000.0
'2014-07-02',28465000.0
'2014-07-03',22891800.0
'2014-07-07',56468000.0
'2014-07-08',65222000.0
'2014-07-09',36436000.0
'2014-07-10',39686000.0
'2014-07-11',34018000.0
'2014-07-14',42810000.0
'2014-07-15',45477900.0
'2014-07-16',53502000.0
'2014-07-17',57298000.0
'2014-07-18',49988000.0
'2014-07-21',39079000.0
'2014-07-22',55197000.0
'2014-07-23',92918000.0
'2014-07-24',45729000.0
'2014-07-25',43469000.0
'2014-07-28',55318000.0
'2014-07-29',43143000.0
'2014-07-30',33010000.0
'2014-07-31',56843000.0
'2014-08-01',48511000.0
'2014-08-04',39958000.0
'2014-08-05',55933000.0
'2014-08-06',38558000.0
'2014-08-07',46711000.0
'2014-08-08',41865000.0
'2014-08-11',36585000.0
'2014-08-12',33795000.0
'2014-08-13',31916000.0
'2014-08-14',28116000.0
'2014-08-15',48951000.0
'2014-08-18',47572000.0
'2014-08-19',69274700.0
'2014-08-20',52612800.0
'2014-08-21',33421900.0
'2014-08-22',44102400.0
'2014-08-25',40144700.0
'2014-08-26',33119800.0
'2014-08-27',46827400.0
'2014-08-28',68389800.0
'2014-08-29',44567000.0
'2014-09-02',53491400.0
'2014-09-03',125233100.0
'2014-09-04',85594800.0
'2014-09-05',58353200.0
'2014-09-08',46277800.0
'2014-09-09',189560600.0
'2014-09-10',100741900.0
'2014-09-11',62353100.0
'2014-09-12',62626100.0
'2014-09-15',61216500.0
'2014-09-16',66818200.0
'2014-09-17',60892400.0
'2014-09-18',37023900.0
'2014-09-19',70838500.0
'2014-09-22',52722000.0
'2014-09-23',63347200.0
'2014-09-24',59725174.0
'2014-09-25',99565849.0
'2014-09-26',62370501.0
'2014-09-29',49766312.0
'2014-09-30',55264139.0
'2014-10-01',51491286.0
'2014-10-02',47757828.0
'2014-10-03',43469585.0
'2014-10-06',37051182.0
'2014-10-07',42094183.0
'2014-10-08',57404674.0
'2014-10-09',77376525.0
'2014-10-10',66331592.0
'2014-10-13',53583368.0
'2014-10-14',63688562.0
'2014-10-15',100933600.0
'2014-10-16',72154523.0
'2014-10-17',68179688.0
'2014-10-20',77517279.0
'2014-10-21',94623904.0
'2014-10-22',68263146.0
'2014-10-23',71074674.0
'2014-10-24',47053916.0
'2014-10-27',34187701.0
'2014-10-28',48060949.0
'2014-10-29',52687879.0
'2014-10-30',40654793.0
'2014-10-31',44639285.0
'2014-11-03',52282550.0
'2014-11-04',41574365.0
'2014-11-05',37435905.0
'2014-11-06',34968457.0
'2014-11-07',33691535.0
'2014-11-10',27195547.0
'2014-11-11',27442252.0
'2014-11-12',46942431.0
'2014-11-13',59522855.0
'2014-11-14',44063595.0
'2014-11-17',46746712.0
'2014-11-18',44223978.0
'2014-11-19',41869160.0
'2014-11-20',43395537.0
'2014-11-21',57179298.0
'2014-11-24',47450824.0
'2014-11-25',68840440.0
'2014-11-26',40831886.0
'2014-11-28',24814402.0
'2014-12-01',83814037.0
'2014-12-02',59348940.0
'2014-12-03',43063440.0
'2014-12-04',42155776.0
'2014-12-05',38318895.0
'2014-12-08',57664850.0
'2014-12-09',60208036.0
'2014-12-10',44565318.0
'2014-12-11',41471578.0
'2014-12-12',56028138.0
'2014-12-15',67218082.0
'2014-12-16',60790733.0
'2014-12-17',53411773.0
'2014-12-18',59006218.0
'2014-12-19',88429770.0
'2014-12-22',45167549.0
'2014-12-23',26028419.0
'2014-12-24',14479611.0
'2014-12-26',33720951.0
'2014-12-29',27598920.0
'2014-12-30',29881477.0
'2014-12-31',41403351.0
'2015-01-02',53204626.0
'2015-01-05',64285491.0
'2015-01-06',65797116.0
'2015-01-07',40105934.0
'2015-01-08',59364547.0
'2015-01-09',53315099.0
'2015-01-12',49650790.0
'2015-01-13',67091928.0
'2015-01-14',48956588.0
'2015-01-15',60013996.0
'2015-01-16',78513345.0
'2015-01-20',49899907.0
'2015-01-21',48575897.0
'2015-01-22',53796409.0
'2015-01-23',46464828.0
'2015-01-26',55614979.0
'2015-01-27',95568749.0
'2015-01-28',146477063.0
'2015-01-29',84436432.0
'2015-01-30',83745461.0
'2015-02-02',62739100.0
'2015-02-03',51915749.0
'2015-02-04',70149743.0
'2015-02-05',42246245.0
'2015-02-06',43706567.0
'2015-02-09',38889797.0
'2015-02-10',62008506.0
'2015-02-11',73561797.0
'2015-02-12',74474466.0
'2015-02-13',54272219.0
'2015-02-17',63152405.0
'2015-02-18',44891737.0
'2015-02-19',37362381.0
'2015-02-20',48948419.0
'2015-02-23',70974110.0
'2015-02-24',69228130.0
'2015-02-25',74711746.0
'2015-02-26',91287529.0
'2015-02-27',62014847.0
'2015-03-02',48096663.0
'2015-03-03',37816283.0
'2015-03-04',31666340.0
'2015-03-05',56517146.0
'2015-03-06',72842060.0
'2015-03-09',88528487.0
'2015-03-10',68856582.0
'2015-03-11',68938974.0
'2015-03-12',48362719.0
'2015-03-13',51827283.0
'2015-03-16',35874300.0
'2015-03-17',51023104.0
'2015-03-18',65270945.0
'2015-03-19',45809490.0
'2015-03-20',68695136.0
'2015-03-23',37709674.0
'2015-03-24',32842304.0
'2015-03-25',51655177.0
'2015-03-26',47572869.0
'2015-03-27',39546151.0
'2015-03-30',47099670.0
'2015-03-31',42090553.0
'2015-04-01',40621437.0
'2015-04-02',32220131.0
'2015-04-06',37193975.0
'2015-04-07',35012268.0
'2015-04-08',37329243.0
'2015-04-09',32483974.0
'2015-04-10',40187953.0
'2015-04-13',36365123.0
'2015-04-14',25524593.0
'2015-04-15',28970419.0
'2015-04-16',28368987.0
'2015-04-17',51957046.0
'2015-04-20',47054310.0
'2015-04-21',32435057.0
'2015-04-22',37654505.0
'2015-04-23',45770902.0
'2015-04-24',44525905.0
'2015-04-27',96954207.0
'2015-04-28',118923970.0
'2015-04-29',63386083.0
'2015-04-30',83195423.0
'2015-05-01',58512638.0
'2015-05-04',50988278.0
'2015-05-05',49271416.0
'2015-05-06',72141010.0
'2015-05-07',43940895.0
'2015-05-08',55550382.0
'2015-05-11',42035757.0
'2015-05-12',48160032.0
'2015-05-13',34694235.0
'2015-05-14',45203456.0
'2015-05-15',38208034.0
'2015-05-18',50882918.0
'2015-05-19',44633240.0
'2015-05-20',36454932.0
'2015-05-21',39730364.0
'2015-05-22',45595972.0
'2015-05-26',70697560.0
'2015-05-27',45833246.0
'2015-05-28',30733309.0
'2015-05-29',50884452.0
'2015-06-01',32112797.0
'2015-06-02',33667627.0
'2015-06-03',30983542.0
'2015-06-04',38450118.0
'2015-06-05',35626800.0
'2015-06-08',52674786.0
'2015-06-09',56075420.0
'2015-06-10',39087250.0
'2015-06-11',35390887.0
'2015-06-12',36886246.0
'2015-06-15',43988946.0
'2015-06-16',31494131.0
'2015-06-17',32918071.0
'2015-06-18',35407220.0
'2015-06-19',54716887.0
'2015-06-22',34039345.0
'2015-06-23',30268863.0
'2015-06-24',55280855.0
'2015-06-25',31938100.0
'2015-06-26',44066841.0
'2015-06-29',49161427.0
'2015-06-30',44370682.0
'2015-07-01',30238811.0
'2015-07-02',27210952.0
'2015-07-06',28060431.0
'2015-07-07',46946811.0
'2015-07-08',60761614.0
'2015-07-09',78595038.0
'2015-07-10',61354474.0
'2015-07-13',41440538.0
'2015-07-14',31768139.0
'2015-07-15',33649200.0
'2015-07-16',36222447.0
'2015-07-17',46164710.0
'2015-07-20',58900203.0
'2015-07-21',76756427.0
'2015-07-22',115450607.0
'2015-07-23',50999452.0
'2015-07-24',42162332.0
'2015-07-27',44455540.0
'2015-07-28',33618097.0
'2015-07-29',37011653.0
'2015-07-30',33628268.0
'2015-07-31',42884953.0
'2015-08-03',69975968.0
'2015-08-04',124138623.0
'2015-08-05',98384461.0
'2015-08-06',52903040.0
'2015-08-07',38670405.0
'2015-08-10',54951597.0
'2015-08-11',97082814.0
'2015-08-12',101685610.0
'2015-08-13',48535789.0
'2015-08-14',42929516.0
'2015-08-17',40884745.0
'2015-08-18',34560708.0
'2015-08-19',48286510.0
'2015-08-20',68501622.0
'2015-08-21',128275471.0
'2015-08-24',162206292.0
'2015-08-25',103601599.0
'2015-08-26',96774611.0
'2015-08-27',84616056.0
'2015-08-28',53164407.0
'2015-08-31',56229271.0
'2015-09-01',76845860.0
'2015-09-02',61888812.0
'2015-09-03',53233940.0
'2015-09-04',49996311.0
'2015-09-08',54843626.0
'2015-09-09',85010804.0
'2015-09-10',62892831.0
'2015-09-11',49915473.0
'2015-09-14',58363431.0
'2015-09-15',43341155.0
'2015-09-16',37173489.0
'2015-09-17',64112641.0
'2015-09-18',74285291.0
'2015-09-21',50221965.0
'2015-09-22',50346159.0
'2015-09-23',35756716.0
'2015-09-24',50219475.0
'2015-09-25',56151926.0
'2015-09-28',50782189.0
'2015-09-29',73365384.0
'2015-09-30',65041596.0
'2015-10-01',63929100.0
'2015-10-02',58019758.0
'2015-10-05',52064743.0
'2015-10-06',48856977.0
'2015-10-07',46765550.0
'2015-10-08',61979577.0
'2015-10-09',52766140.0
'2015-10-12',30467204.0
'2015-10-13',33049256.0
'2015-10-14',44462449.0
'2015-10-15',37673452.0
'2015-10-16',39232609.0
'2015-10-19',29759153.0
'2015-10-20',48967763.0
'2015-10-21',42326974.0
'2015-10-22',41654089.0
'2015-10-23',59366914.0
'2015-10-26',66333781.0
'2015-10-27',69884400.0
'2015-10-28',85551352.0
'2015-10-29',51227334.0
'2015-10-30',49365254.0
'2015-11-02',32203267.0
'2015-11-03',45518976.0
'2015-11-04',44886050.0
'2015-11-05',39552680.0
'2015-11-06',33042283.0
'2015-11-09',33871405.0
'2015-11-10',59127931.0
'2015-11-11',45217971.0
'2015-11-12',32525579.0
'2015-11-13',45812403.0
'2015-11-16',38106701.0
'2015-11-17',27583101.0
'2015-11-18',46674697.0
'2015-11-19',43295820.0
'2015-11-20',34287096.0
'2015-11-23',32482528.0
'2015-11-24',42803172.0
'2015-11-25',21388308.0
'2015-11-27',13046445.0
'2015-11-30',39180322.0
'2015-12-01',34852374.0
'2015-12-02',33386563.0
'2015-12-03',41569509.0
'2015-12-04',57776977.0
'2015-12-07',32084249.0
'2015-12-08',34309450.0
'2015-12-09',46361357.0
'2015-12-10',29212727.0
'2015-12-11',46886161.0
'2015-12-14',65003609.0
'2015-12-15',53323105.0
'2015-12-16',56238467.0
'2015-12-17',44772827.0
'2015-12-18',96453327.0
'2015-12-21',47590610.0
'2015-12-22',32789367.0
'2015-12-23',32657354.0
'2015-12-24',13596680.0
'2015-12-28',26704210.0
'2015-12-29',30931243.0
'2015-12-30',25213777.0
'2015-12-31',40912316.0
'2016-01-04',67649387.0
'2016-01-05',55790992.0
'2016-01-06',68457388.0
'2016-01-07',81094428.0
'2016-01-08',70798016.0
'2016-01-11',49739377.0
'2016-01-12',49154227.0
'2016-01-13',62439631.0
'2016-01-14',63170127.0
'2016-01-15',79833891.0
'2016-01-19',53087747.0
'2016-01-20',72334416.0
'2016-01-21',52161463.0
'2016-01-22',65800467.0
'2016-01-25',51794525.0
'2016-01-26',75077002.0
'2016-01-27',133369674.0
'2016-01-28',55678825.0
'2016-01-29',64416504.0
'2016-02-01',40943541.0
'2016-02-02',37357215.0
'2016-02-03',45964294.0
'2016-02-04',46471652.0
'2016-02-05',46418064.0
'2016-02-08',54021375.0
'2016-02-09',44331195.0
'2016-02-10',42343601.0
'2016-02-11',50074711.0
'2016-02-12',40351381.0
'2016-02-16',49057916.0
'2016-02-17',44863243.0
'2016-02-18',39020983.0
'2016-02-19',35374173.0
'2016-02-22',34280758.0
'2016-02-23',31942633.0
'2016-02-24',36255745.0
'2016-02-25',27582659.0
'2016-02-26',28991131.0
'2016-02-29',35216277.0
'2016-03-01',50407147.0
'2016-03-02',33169560.0
'2016-03-03',36955742.0
'2016-03-04',46055100.0
'2016-03-07',35915810.0
'2016-03-08',31182194.0
'2016-03-09',27201683.0
'2016-03-10',33513577.0
'2016-03-11',27408237.0
'2016-03-14',25076062.0
'2016-03-15',40067734.0
'2016-03-16',38303493.0
'2016-03-17',34420705.0
'2016-03-18',44205171.0
'2016-03-21',35502678.0
'2016-03-22',32444375.0
'2016-03-23',25703495.0
'2016-03-24',26132955.0
'2016-03-28',19411372.0
'2016-03-29',31190083.0
'2016-03-30',45601149.0
'2016-03-31',25888449.0
'2016-04-01',25873950.0
'2016-04-04',37356204.0
'2016-04-05',26578652.0
'2016-04-06',26404077.0
'2016-04-07',31801870.0
'2016-04-08',23581740.0
'2016-04-11',29407518.0
'2016-04-12',27232325.0
'2016-04-13',33257316.0
'2016-04-14',25473923.0
'2016-04-15',46938969.0
'2016-04-18',60821461.0
'2016-04-19',32384879.0
'2016-04-20',30611030.0
'2016-04-21',31552525.0
'2016-04-22',33683121.0
'2016-04-25',28031588.0
'2016-04-26',56016165.0
'2016-04-27',114602142.0
'2016-04-28',82242690.0
'2016-04-29',68531478.0
'2016-05-02',48160104.0
'2016-05-03',56831277.0
'2016-05-04',41025475.0
'2016-05-05',35890500.0
'2016-05-06',43699886.0
'2016-05-09',32936436.0
'2016-05-10',33686836.0
'2016-05-11',28719109.0
'2016-05-12',76314690.0
'2016-05-13',44392765.0
'2016-05-16',61259756.0
'2016-05-17',46916939.0
'2016-05-18',42062391.0
'2016-05-19',30442100.0
'2016-05-20',32025968.0
'2016-05-23',38018643.0
'2016-05-24',35140174.0
'2016-05-25',38642108.0
'2016-05-26',56331159.0
'2016-05-27',36341240.0
'2016-05-31',42307212.0
'2016-06-01',29173285.0
'2016-06-02',40191600.0
'2016-06-03',28504888.0
'2016-06-06',23292504.0
'2016-06-07',22409450.0
'2016-06-08',20848131.0
'2016-06-09',26601354.0
'2016-06-10',31712936.0
'2016-06-13',38020494.0
'2016-06-14',31931944.0
'2016-06-15',29445227.0
'2016-06-16',31326815.0
'2016-06-17',61008219.0
'2016-06-20',34411901.0
'2016-06-21',35546358.0
'2016-06-22',29219122.0
'2016-06-23',32240187.0
'2016-06-24',75311356.0
'2016-06-27',46622188.0
'2016-06-28',40444914.0
'2016-06-29',36531006.0
'2016-06-30',35836356.0
'2016-07-01',26026540.0
'2016-07-05',27705210.0
'2016-07-06',30949090.0
'2016-07-07',25139558.0
'2016-07-08',28912103.0
'2016-07-11',23794945.0
'2016-07-12',24167463.0
'2016-07-13',25892171.0
'2016-07-14',38918997.0
'2016-07-15',30136990.0
'2016-07-18',36493867.0
'2016-07-19',23779924.0
'2016-07-20',26275968.0
'2016-07-21',32702028.0
'2016-07-22',28313669.0
'2016-07-25',40382921.0
'2016-07-26',56239822.0
'2016-07-27',92344820.0
'2016-07-28',39869839.0
'2016-07-29',27733688.0
'2016-08-01',38167871.0
'2016-08-02',33816556.0
'2016-08-03',30202641.0
'2016-08-04',27408650.0
'2016-08-05',40553402.0
'2016-08-08',28037220.0
'2016-08-09',26315204.0
'2016-08-10',24008505.0
'2016-08-11',27484506.0
'2016-08-12',18660434.0
'2016-08-15',25868209.0
'2016-08-16',33794448.0
'2016-08-17',25355976.0
'2016-08-18',21984703.0
'2016-08-19',25368072.0
'2016-08-22',25820230.0
'2016-08-23',21257669.0
'2016-08-24',23675081.0
'2016-08-25',25086248.0
'2016-08-26',27766291.0
'2016-08-29',24970300.0
'2016-08-30',24863945.0
'2016-08-31',29662406.0
'2016-09-01',26701523.0
'2016-09-02',26802450.0
'2016-09-06',26880391.0
'2016-09-07',42364328.0
'2016-09-08',53002026.0
'2016-09-09',46556984.0
'2016-09-12',45292770.0
'2016-09-13',62176190.0
'2016-09-14',112340318.0
'2016-09-15',90613177.0
'2016-09-16',79886911.0
'2016-09-19',47023046.0
'2016-09-20',34514269.0
'2016-09-21',36003185.0
'2016-09-22',31073984.0
'2016-09-23',52481151.0
'2016-09-26',29869442.0
'2016-09-27',24607412.0
'2016-09-28',29641085.0
'2016-09-29',35886990.0
'2016-09-30',36379106.0
'2016-10-03',21701760.0
'2016-10-04',29736835.0
'2016-10-05',21453089.0
'2016-10-06',28779313.0
'2016-10-07',24358443.0
'2016-10-10',36235956.0
'2016-10-11',64041043.0
'2016-10-12',37586787.0
'2016-10-13',35192406.0
'2016-10-14',35652191.0
'2016-10-17',23624896.0
'2016-10-18',24553478.0
'2016-10-19',20034594.0
'2016-10-20',24125801.0
'2016-10-21',23192665.0
'2016-10-24',23538673.0
'2016-10-25',48128970.0
'2016-10-26',66134219.0
'2016-10-27',34562045.0
'2016-10-28',37861662.0
'2016-10-31',26419398.0
'2016-11-01',43825812.0
'2016-11-02',28331709.0
'2016-11-03',26932602.0
'2016-11-04',30836997.0
'2016-11-07',32560000.0
'2016-11-08',24254179.0
'2016-11-09',59176361.0
'2016-11-10',57134541.0
'2016-11-11',34143898.0
'2016-11-14',51175504.0
'2016-11-15',32264510.0
'2016-11-16',58840522.0
'2016-11-17',27632003.0
'2016-11-18',28428917.0
'2016-11-21',29264571.0
'2016-11-22',25965534.0
'2016-11-23',27426394.0
'2016-11-25',11475922.0
'2016-11-28',27193983.0
'2016-11-29',28528750.0
'2016-11-30',36162258.0
'2016-12-01',37086862.0
'2016-12-02',26527997.0
'2016-12-05',34324540.0
'2016-12-06',26195462.0
'2016-12-07',29998719.0
'2016-12-08',27068316.0
'2016-12-09',34402627.0
'2016-12-12',26374377.0
'2016-12-13',43733811.0
'2016-12-14',34031834.0
'2016-12-15',46524544.0
'2016-12-16',44351134.0
'2016-12-19',27779423.0
'2016-12-20',21424965.0
'2016-12-21',23783165.0
'2016-12-22',26085854.0
'2016-12-23',14249484.0
'2016-12-27',18296855.0
'2016-12-28',20905892.0
'2016-12-29',15039519.0
'2016-12-30',30586265.0
'2017-01-03',28781865.0
'2017-01-04',21118116.0
'2017-01-05',22193587.0
'2017-01-06',31751900.0
'2017-01-09',33561948.0
'2017-01-10',24462051.0
'2017-01-11',27588593.0
'2017-01-12',27086220.0
'2017-01-13',26111948.0
'2017-01-17',34439843.0
'2017-01-18',23712961.0
'2017-01-19',25597291.0
'2017-01-20',32597892.0
'2017-01-23',22050218.0
'2017-01-24',23211038.0
'2017-01-25',32586673.0
'2017-01-26',26337576.0
'2017-01-27',20562944.0
'2017-01-30',30377503.0
'2017-01-31',49200993.0
'2017-02-01',111985040.0
